pais,region,subregion,continente
Ivory Coast,Africa,Western Africa,Africa
Italy,Europe,Southern Europe,Europe
Kyrgyzstan,Asia,Central Asia,Asia
Papua New Guinea,Oceania,Melanesia,Oceania
Fiji,Oceania,Melanesia,Oceania
United Arab Emirates,Asia,Western Asia,Asia
Saint Kitts and Nevis,Americas,Caribbean,North America
French Guiana,Americas,South America,South America
Tanzania,Africa,Eastern Africa,Africa
Angola,Africa,Middle Africa,Africa
Togo,Africa,Western Africa,Africa
Finland,Europe,Northern Europe,Europe
Malawi,Africa,Eastern Africa,Africa
Mali,Africa,Western Africa,Africa
Uzbekistan,Asia,Central Asia,Asia
Senegal,Africa,Western Africa,Africa
Uganda,Africa,Eastern Africa,Africa
Djibouti,Africa,Eastern Africa,Africa
South Sudan,Africa,Middle Africa,Africa
Jersey,Europe,Northern Europe,Europe
Tuvalu,Oceania,Polynesia,Oceania
Japan,Asia,Eastern Asia,Asia
Oman,Asia,Western Asia,Asia
Belgium,Europe,Western Europe,Europe
Saint Martin,Americas,Caribbean,North America
Mayotte,Africa,Eastern Africa,Africa
France,Europe,Western Europe,Europe
Bulgaria,Europe,Southeast Europe,Europe
Cyprus,Europe,Southern Europe,Europe
South Korea,Asia,Eastern Asia,Asia
Mexico,Americas,North America,North America
North Macedonia,Europe,Southeast Europe,Europe
Guyana,Americas,South America,South America
Kosovo,Europe,Southeast Europe,Europe
Morocco,Africa,Northern Africa,Africa
Gibraltar,Europe,Southern Europe,Europe
Western Sahara,Africa,Northern Africa,Africa
Andorra,Europe,Southern Europe,Europe
Palau,Oceania,Micronesia,Oceania
Guinea,Africa,Western Africa,Africa
Turks and Caicos Islands,Americas,Caribbean,North America
Saudi Arabia,Asia,Western Asia,Asia
Botswana,Africa,Southern Africa,Africa
Comoros,Africa,Eastern Africa,Africa
Belize,Americas,Central America,North America
Cambodia,Asia,South-Eastern Asia,Asia
Saint Lucia,Americas,Caribbean,North America
Mauritania,Africa,Western Africa,Africa
Jamaica,Americas,Caribbean,North America
Cape Verde,Africa,Western Africa,Africa
Marshall Islands,Oceania,Micronesia,Oceania
Namibia,Africa,Southern Africa,Africa
Iran,Asia,Southern Asia,Asia
Wallis and Futuna,Oceania,Polynesia,Oceania
Azerbaijan,Asia,Western Asia,"Europe, Asia"
Niger,Africa,Western Africa,Africa
Heard Island and McDonald Islands,Antarctic,,Antarctica
Laos,Asia,South-Eastern Asia,Asia
Burkina Faso,Africa,Western Africa,Africa
Cocos (Keeling) Islands,Oceania,Australia and New Zealand,Asia
Luxembourg,Europe,Western Europe,Europe
Indonesia,Asia,South-Eastern Asia,Asia
Lebanon,Asia,Western Asia,Asia
Turkey,Asia,Western Asia,"Europe, Asia"
Timor-Leste,Asia,South-Eastern Asia,Oceania
Zimbabwe,Africa,Southern Africa,Africa
South Africa,Africa,Southern Africa,Africa
Armenia,Asia,Western Asia,Asia
Ireland,Europe,Northern Europe,Europe
Norway,Europe,Northern Europe,Europe
Kenya,Africa,Eastern Africa,Africa
North Korea,Asia,Eastern Asia,Asia
Afghanistan,Asia,Southern Asia,Asia
Bermuda,Americas,North America,North America
Spain,Europe,Southern Europe,Europe
Netherlands,Europe,Western Europe,Europe
Nicaragua,Americas,Central America,North America
Lesotho,Africa,Southern Africa,Africa
Egypt,Africa,Northern Africa,Africa
Gambia,Africa,Western Africa,Africa
Brazil,Americas,South America,South America
Australia,Oceania,Australia and New Zealand,Oceania
Bouvet Island,Antarctic,,Antarctica
Pitcairn Islands,Oceania,Polynesia,Oceania
Barbados,Americas,Caribbean,North America
Madagascar,Africa,Eastern Africa,Africa
United Kingdom,Europe,Northern Europe,Europe
Portugal,Europe,Southern Europe,Europe
Greenland,Americas,North America,North America
American Samoa,Oceania,Polynesia,Oceania
