numero_orden,fecha_orden,codigo_producto,cantidad_pedida,precio_unitario,ventas,pais,linea_producto,tamano_venta,producto_id,cliente_id,anio,mes
10107,2003-02-24,S10_1678,30,95.7,2871.0,United States,Motorcycles,Small,1,69,2003,2
10121,2003-05-07,S10_1678,34,81.35,2765.9,France,Motorcycles,Small,1,38,2003,5
10134,2003-07-01,S10_1678,41,94.74,3884.34,France,Motorcycles,Medium,1,46,2003,7
10145,2003-08-25,S10_1678,45,83.26,3746.7,United States,Motorcycles,Medium,1,99,2003,8
10159,2003-10-10,S10_1678,49,100.0,5205.27,United States,Motorcycles,Medium,1,69,2003,10
10168,2003-10-28,S10_1678,36,96.66,3479.76,United States,Motorcycles,Medium,1,86,2003,10
10180,2003-11-11,S10_1678,29,86.13,2497.77,France,Motorcycles,Small,1,12,2003,11
10188,2003-11-18,S10_1678,48,100.0,5512.32,Norway,Motorcycles,Medium,1,76,2003,11
10201,2003-12-01,S10_1678,22,98.57,2168.54,United States,Motorcycles,Small,1,69,2003,12
10211,2004-01-15,S10_1678,41,100.0,4708.44,France,Motorcycles,Medium,1,51,2004,1
10223,2004-02-20,S10_1678,37,100.0,3965.66,Australia,Motorcycles,Medium,1,32,2004,2
10237,2004-04-05,S10_1678,23,100.0,2333.12,United States,Motorcycles,Small,1,99,2004,4
10251,2004-05-18,S10_1678,28,100.0,3188.64,United States,Motorcycles,Medium,1,69,2004,5
10263,2004-06-28,S10_1678,34,100.0,3676.76,United States,Motorcycles,Medium,1,86,2004,6
10275,2004-07-23,S10_1678,45,92.83,4177.35,France,Motorcycles,Medium,1,46,2004,7
10285,2004-08-27,S10_1678,36,100.0,4099.68,United States,Motorcycles,Medium,1,99,2004,8
10299,2004-09-30,S10_1678,23,100.0,2597.39,Finland,Motorcycles,Small,1,21,2004,9
10309,2004-10-15,S10_1678,41,100.0,4394.38,Norway,Motorcycles,Medium,1,76,2004,10
10318,2004-11-02,S10_1678,46,94.74,4358.04,United States,Motorcycles,Medium,1,94,2004,11
10329,2004-11-15,S10_1678,42,100.0,4396.14,United States,Motorcycles,Medium,1,99,2004,11
10341,2004-11-24,S10_1678,41,100.0,7737.93,Austria,Motorcycles,Large,1,21,2004,11
10361,2004-12-17,S10_1678,20,72.55,1451.0,Australia,Motorcycles,Small,1,62,2004,12
10375,2005-02-03,S10_1678,21,34.91,733.11,France,Motorcycles,Small,1,57,2005,2
10388,2005-03-03,S10_1678,42,76.36,3207.12,United States,Motorcycles,Medium,1,99,2005,3
10403,2005-04-08,S10_1678,24,100.0,2434.56,United Kingdom,Motorcycles,Small,1,41,2005,4
10417,2005-05-13,S10_1678,66,100.0,7516.08,Spain,Motorcycles,Large,1,29,2005,5
10103,2003-01-29,S10_1949,26,100.0,5404.62,Norway,Classic Cars,Medium,2,65,2003,1
10112,2003-03-24,S10_1949,29,100.0,7209.11,Sweden,Classic Cars,Large,2,28,2003,3
10126,2003-05-28,S10_1949,38,100.0,7329.06,Spain,Classic Cars,Large,2,1,2003,5
10140,2003-07-24,S10_1949,37,100.0,7374.1,United States,Classic Cars,Large,2,86,2003,7
10150,2003-09-19,S10_1949,45,100.0,10993.5,Singapore,Classic Cars,Large,2,31,2003,9
10163,2003-10-20,S10_1949,21,100.0,4860.24,United States,Classic Cars,Medium,2,99,2003,10
10174,2003-11-06,S10_1949,34,100.0,8014.82,Australia,Classic Cars,Large,2,32,2003,11
10183,2003-11-13,S10_1949,23,100.0,5372.57,United States,Classic Cars,Medium,2,86,2003,11
10194,2003-11-25,S10_1949,42,100.0,7290.36,France,Classic Cars,Large,2,57,2003,11
10206,2003-12-05,S10_1949,47,100.0,9064.89,Canada,Classic Cars,Large,2,85,2003,12
10215,2004-01-29,S10_1949,35,100.0,6075.3,United States,Classic Cars,Medium,2,69,2004,1
10228,2004-03-10,S10_1949,29,100.0,6463.23,United States,Classic Cars,Medium,2,86,2004,3
10245,2004-05-04,S10_1949,34,100.0,6120.34,United States,Classic Cars,Medium,2,94,2004,5
10258,2004-06-15,S10_1949,32,100.0,7680.64,Japan,Classic Cars,Large,2,40,2004,6
10270,2004-07-19,S10_1949,21,100.0,4905.39,Australia,Classic Cars,Medium,2,32,2004,7
10280,2004-08-17,S10_1949,34,100.0,8014.82,Italy,Classic Cars,Large,2,42,2004,8
10291,2004-09-08,S10_1949,37,100.0,7136.19,Sweden,Classic Cars,Large,2,43,2004,9
10304,2004-10-11,S10_1949,47,100.0,10172.7,France,Classic Cars,Large,2,38,2004,10
10312,2004-10-21,S10_1949,48,100.0,11623.7,United States,Classic Cars,Large,2,69,2004,10
10322,2004-11-04,S10_1949,40,100.0,6000.4,United States,Classic Cars,Medium,2,86,2004,11
10333,2004-11-18,S10_1949,26,100.0,3003.0,United States,Classic Cars,Medium,2,94,2004,11
10347,2004-11-29,S10_1949,30,100.0,3944.7,Australia,Classic Cars,Medium,2,62,2004,11
10357,2004-12-10,S10_1949,32,100.0,5691.84,United States,Classic Cars,Medium,2,69,2004,12
10369,2005-01-20,S10_1949,41,100.0,4514.92,United States,Classic Cars,Medium,2,86,2005,1
10381,2005-02-17,S10_1949,36,100.0,8254.8,United States,Classic Cars,Large,2,94,2005,2
10391,2005-03-09,S10_1949,24,100.0,2416.56,Australia,Classic Cars,Small,2,62,2005,3
10411,2005-05-01,S10_1949,23,100.0,4140.23,Canada,Classic Cars,Medium,2,42,2005,5
10424,2005-05-31,S10_1949,50,100.0,12001.0,Spain,Classic Cars,Large,2,29,2005,5
10107,2003-02-24,S10_2016,39,99.91,3896.49,United States,Motorcycles,Medium,3,94,2003,2
10120,2003-04-29,S10_2016,29,96.34,2793.86,Australia,Motorcycles,Small,3,62,2003,4
10134,2003-07-01,S10_2016,27,100.0,3307.77,France,Motorcycles,Medium,3,46,2003,7
10145,2003-08-25,S10_2016,37,100.0,5192.95,United States,Motorcycles,Medium,3,86,2003,8
10159,2003-10-10,S10_2016,37,100.0,5016.83,United States,Motorcycles,Medium,3,94,2003,10
10168,2003-10-28,S10_2016,27,100.0,3660.93,United States,Motorcycles,Medium,3,99,2003,10
10180,2003-11-11,S10_2016,42,100.0,4695.6,France,Motorcycles,Medium,3,12,2003,11
10188,2003-11-18,S10_2016,38,96.34,3660.92,Norway,Motorcycles,Medium,3,65,2003,11
10201,2003-12-01,S10_2016,24,100.0,3025.92,United States,Motorcycles,Medium,3,94,2003,12
10210,2004-01-12,S10_2016,23,100.0,3009.09,Japan,Motorcycles,Medium,3,64,2004,1
